project,datetime,siteID,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,watershed,QAQC,lat,long,field_SpC
AIMS,2022-01-14T17:00:00Z,04M09_2,STIC,0,LS,21044167,2926.72,6.978336,0,dry,KNZ,AB,39.079821,-96.581601,
AIMS,2022-01-14T17:15:00Z,04M09_2,STIC,0,LS,21044167,2926.72,6.5733036,0,dry,KNZ,AB,39.079821,-96.581601,
AIMS,2022-01-14T17:30:00Z,04M09_2,STIC,0,LS,21044167,2926.72,5.34765,0,dry,KNZ,AB,39.079821,-96.581601,
AIMS,2022-01-14T17:45:00Z,04M09_2,STIC,0,LS,21044167,3098.88,4.1025504,0,dry,KNZ,AB,39.079821,-96.581601,
AIMS,2022-01-14T18:00:00Z,04M09_2,STIC,0,LS,21044167,3615.36,3.261372,0,dry,KNZ,AB,39.079821,-96.581601,
AIMS,2022-01-14T18:15:00Z,04M09_2,STIC,0,LS,21044167,3615.36,2.4101928,0,dry,KNZ,AB,39.079821,-96.581601,
AIMS,2022-01-14T18:30:00Z,04M09_2,STIC,0,LS,21044167,3787.52,1.6562436,0,dry,KNZ,AB,39.079821,-96.581601,
AIMS,2022-01-14T18:45:00Z,04M09_2,STIC,0,LS,21044167,3959.68,1.2212088,0,dry,KNZ,AB,39.079821,-96.581601,
AIMS,2022-01-14T19:00:00Z,04M09_2,STIC,0,LS,21044167,3959.68,1.002858,0,dry,KNZ,AB,39.079821,-96.581601,
AIMS,2022-01-14T19:15:00Z,04M09_2,STIC,0,LS,21044167,3959.68,0.8928492,0,dry,KNZ,AB,39.079821,-96.581601,
AIMS,2022-01-14T19:30:00Z,04M09_2,STIC,0,LS,21044167,3959.68,0.8928492,0,dry,KNZ,AB,39.079821,-96.581601,
AIMS,2022-01-14T19:45:00Z,04M09_2,STIC,0,LS,21044167,4131.84,0.8928492,0,dry,KNZ,AB,39.079821,-96.581601,
AIMS,2022-01-14T20:00:00Z,04M09_2,STIC,0,LS,21044167,4131.84,0.7839516,0,dry,KNZ,AB,39.079821,-96.581601,
