sn,standard ,condUncal
21064694,100,28933.5
21064694,250,49600.3
21064694,500,60622.6
21064694,1000,104711.8
21044166,250,52355.9
21044166,500,85422.8
21044166,1000,121245.2
20946484,100,24800.2
20946484,250,39955.8
20946484,1000,110223
20946497,100,28933.5
20946497,250,55111.5
20946497,500,88178.4
20946497,1000,110223
21064675,100,15844.5
21064675,250,37200.2
21064675,500,88178.4
21064675,1000,126756.4
21064682,100,37200.2
21064682,250,52355.9
21064682,500,88178.4
21064682,1000,137778.7
21064683,100,28933.5
21064683,250,46844.8
21064683,500,74400.5
21064683,1000,121245.2
20946493,100,30311.3
20946493,250,52355.9
20946493,500,88178.4
21044174,250,52355.9
21044174,500,77156.1
21044174,1000,121245.2
20946491,250,57867
20946491,500,88178.4
20946491,1000,121245.2
21044167,250,52355.9
21044167,500,66133.8
21044167,1000,115734.1
21044156,100,16533.4
21044156,250,42711.4
21044156,1000,104711.8
20946499,100,31689.1
20946499,250,44089.2
20946499,500,99200.7
20946499,1000,132267.5
21044171,250,38578
21044171,500,68889.3
21044171,1000,104711.8
21064697,100,27555.7
21064697,250,52355.9
21064697,500,93689.5
21064697,1000,137778.7
21064678,100,26178
21064678,250,49600.3
21064678,500,77156.1
21064678,1000,110223
21064689,100,16533.4
21064689,250,46844.8
21064689,500,77156.1
20946489,100,26178
20946489,250,37200.2
20946489,500,88178.4
20946489,1000,137778.7
21064691,100,30311.3
21064691,250,49600.3
21064691,500,85422.8
21064691,1000,132267.5
20946496,100,26178
20946496,250,57867
20946496,500,71644.9
20946496,1000,137778.7
21064686,100,28933.5
21064686,250,46844.8
21064686,500,74400.5
21064686,1000,115734.1
20946477,100,21355.7
20946477,250,37200.2
20946477,500,85422.8
20946477,1000,159823.3
20946485,100,23422.4
20946485,250,52355.9
20946485,500,93689.5
20946485,1000,137778.7
20946482,100,28933.5
20946482,250,46844.8
20946482,500,71644.9
20946482,1000,121245.2
20946500,100,20666.8
20946500,250,57867
20946500,500,99200.7
20946500,1000,148801
20946476,250,44089.2
20946476,500,68889.3
20946476,1000,110223
21044161,100,17911.2
21044161,250,46844.8
21044161,500,85422.8
21044161,1000,126756.4
21044168,100,27555.7
21044168,250,49600.3
21044168,500,55111.5
21044168,1000,126756.4
21044176,100,17911.2
21044176,250,27555.7
21044176,500,52355.9
21044176,1000,77156.1
21044170,100,24800.2
21044170,250,37200.2
21044170,1000,88178.4
21064687,100,26178
21064687,250,52355.9
21064687,500,82667.2
21064687,1000,137778.7
20946481,100,12400.1
20946481,250,37200.2
20946481,500,93689.5
20946481,1000,170845.6
21044164,100,26178
21044164,250,41333.6
21044164,1000,85422.8
21044177,100,28933.5
21044177,250,52355.9
21044177,500,85422.8
21044177,1000,170845.6
21064698,100,23422.4
21064698,250,55111.5
21064698,1000,99200.7
21064681,100,19289
21064681,250,49600.3
21064681,500,82667.2
20946494,100,27555.7
20946494,250,52355.9
20946494,500,88178.4
21064676,100,16533.4
21064676,250,52355.9
21064676,500,88178.4
20946495,100,26178
20946495,250,52355.9
20946495,500,93689.5
21044158,100,14466.8
21044158,250,55111.5
21044158,500,71644.9
20946488,100,33066.9
20946488,250,38578
20946488,500,49600.3
20946488,1000,99200.7
21064699,100,19289
21064699,250,55111.5
21064699,500,79911.6
21044160,100,5166.7
21044160,250,18600.1
21044160,500,34444.7
21044160,1000,63378.2
21044169,100,24800.2
21044169,250,52355.9
21044169,500,88178.4
21064696,100,11711.2
21064696,250,49600.3
21064696,500,79911.6
21064677,100,30311.3
21064677,250,49600.3
21064677,500,88178.4
21064679,100,24800.2
21064679,250,46844.8
21064679,500,79911.6
20946483,100,28933.5
20946483,250,52355.9
20946483,500,71644.9
21044173,100,24800.2
21044173,250,55111.5
21044173,500,82667.2
20946479,100,33066.9
20946479,250,39955.8
20946479,500,55111.5
21044159,100,26178
21044159,250,55111.5
21044159,500,74400.5
21064684,100,28933.5
21064684,250,52355.9
21064684,500,77156.1
21064684,1000,104711.8
21064692,100,27555.7
21064692,250,38578
21064692,1000,63378.2
21044165,100,15155.7
21044165,250,52355.9
21044165,500,88178.4
21044179,100,28933.5
21044179,500,52355.9
21044179,1000,88178.4
20946492,100,26178
20946492,250,55111.5
20946492,500,93689.5
21044175,100,28933.5
21044175,250,24800.2
21044175,1000,44089.2
21064695,100,22044.6
21064695,250,52355.9
21064695,500,57867
21064695,1000,88178.4
21044162,100,15155.7
21044162,250,52355.9
21044162,500,77156.1
20946490,100,26178
20946490,250,44089.2
20946490,500,88178.4
20946480,100,22044.6
20946480,250,46844.8
20946480,500,74400.5
20946486,100,14466.8
20946486,250,57867
20946486,500,93689.5
20946478,100,24800.2
20946478,500,52355.9
20946478,1000,66133.8
21044172,100,19289
21044172,250,52355.9
21044172,500,68889.3
20946487,100,20666.8
20946487,250,55111.5
20946487,1000,110223
21064690,100,11711.2
21064690,250,41333.6
21064690,500,88178.4
21044157,100,30311.3
21044157,250,52355.9
21044157,500,88178.4
21064688,100,28933.5
21064688,250,49600.3
21064688,500,66133.8
20946498,100,31689.1
20946498,500,55111.5
20946498,1000,60622.6
21044178,100,15844.5
21044178,500,63378.2
21044178,1000,82667.2
21064693,100,22044.6
21064693,250,52355.9
21064693,500,63378.2
21064680,100,22044.6
21064680,250,46844.8
21064680,500,57867
21044155,100,24800.2
21044155,250,12400.1
21044155,500,41333.6
21044155,1000,88178.4
21044163,100,11022.3
21044163,250,21355.7
21044163,500,35822.5
21044163,1000,60622.6
21064685,100,22044.6
21064685,250,46844.8
21064685,1000,110223
20946498,100,31689.1
20946498,500,55111.5
20946498,1000,60622.6
21064693,100,22044.6
21064693,250,52355.9
21064693,500,63378.2
21064680,100,22044.6
21064680,250,46844.8
21064680,500,57867
